fillet	Verrundung
fillets	Verrundungen
chamfer	Fase
chamfers	Fasen
extrude	extrudieren
extruded	extrudiert
revolve	rotieren
sweep	Sweeping
loft	Erhebung
outline	Umriss
outlines	Umrisse
footprint	Grundriss
sketch space	Skizzenebene
sketch plane	Skizzenebene
working plane	Arbeitsebene
datum plane	Bezugsebene
wall	Wand
walls	Wände
profile	Profil
jamb	Laibung
tangent	Tangente
arc	Bogen
arcs	Bögen
chain	Kette
leg	Schenkel
skin	Haut
shell	Schale
cavity	Hohlraum
rounding	Verrundung
roundings	Verrundungen
band	Band
bands	Bänder
upright	Steg
carrier	Träger
carriers	Träger
locus	Ort
helix	Wendel
coil	Wendel
pitch	Steigung
setback	Rücksprung
mitre	Gehrung
boss	Aufsatz
apex	Spitze
slab	Scheibe
prism	Prisma
dressing	Verrundungssatz
cove	Hohlkehle
bead	Wulst
rasp	Raspel
