fillet	congé
fillets	congés
chamfer	chanfrein
chamfers	chanfreins
extrude	extruder
extruded	extrudé
revolve	révolution
sweep	balayage
loft	lissage
outline	contour
outlines	contours
footprint	emprise
sketch space	plan d'esquisse
sketch plane	plan d'esquisse
working plane	plan de travail
datum plane	plan de référence
wall	mur
walls	murs
profile	profil
jamb	jambage
tangent	tangente
arc	arc
arcs	arcs
chain	chaîne
leg	branche
skin	peau
shell	coque
cavity	cavité
rounding	congé
roundings	congés
band	bande
bands	bandes
upright	montant
carrier	support
carriers	supports
locus	lieu
helix	hélice
coil	hélice
pitch	pas
setback	retrait
mitre	onglet
boss	bossage
apex	sommet
slab	tranche
prism	prisme
dressing	jeu de congés
cove	gorge
bead	bourrelet
rasp	râpe
